frame,sampleFrame,dtSeconds,level,volume,loudness,peak,average,bass,mid,treble,bassLevel,midLevel,trebleLevel,energy,dynamics,bpm,centroid,noiseFloor,buildup,descent,dropDetected,teaseDetected,anomaly,gateGain,spectralFlatness,mood
0,1,0.000000000,0.0399999991,0.00607296079,0.0910944045,0.0179595668,0.00473423256,0.00099683681,0.0331608355,0.00584231177,0.0399999991,0.0399999991,0.0399999991,0.228907153,0,0,17.2978611,0,0,0,0,0,0,0.0399999991,0.0650472045,Silent
1,2,0.011609977,0.0784000009,0.00209789374,0.108898655,0.0048652105,0.0017575844,0.00248316233,0.0628667697,0.0215639602,0.0784000009,0.0758704841,0.0784000009,0.14974913,0.00196165219,0,32.43396,0,0,0,0,0,0,0.0784000009,0.186705291,Silent
2,3,0.011609977,0.115263999,0.00185601041,0.120404013,0.00453801127,0.0015512004,0.00360940187,0.0907003731,0.0330328904,0.115263999,0.109516114,0.115263999,0.222173616,0.00501084793,0,27.0572586,0,0,0,0,0,0,0.115263999,0.139347315,Silent
3,4,0.011609977,0.150653437,0.00405492121,0.163167223,0.0168471728,0.00269900402,0.00453323359,0.107770145,0.0885140076,0.150653437,0.130192101,0.150653437,1.3221941,0.00750515284,0,60.0923767,0,0,0,0,0,0,0.150653437,0.20642367,Silent
4,5,0.011609977,0.184627295,0.00129050796,0.158049762,0.0030632501,0.00106161914,0.0128275221,0.128989279,0.102727354,0.184627295,0.155903891,0.184627295,0.278482854,0.0110799931,0,30.074791,0,0,0,0,0,0,0.184627295,0.166586757,Silent
5,6,0.011609977,0.217242211,0.0184202641,0.4106462,0.0844679177,0.012207984,0.0144890398,0.155815616,0.112210758,0.217242211,0.18842198,0.217242211,1.8287127,0.0238948446,0,27.7103882,0,0,0,0,0,0,0.217242211,0.246488467,Silent
6,7,0.011609977,0.248552516,0.00551663386,0.431798756,0.0161224846,0.0044389097,0.019282354,0.178004995,0.119148292,0.248552516,0.215362445,0.248552516,1.51693225,0.0298330933,0,22.0987129,0,0,0,0,0,0,0.248552516,0.0940941274,Silent
7,8,0.011609977,0.278610408,0.00304791005,0.412747592,0.00801407266,0.00250955112,0.0214931555,0.198395386,0.125683159,0.278610408,0.24015221,0.278610408,0.76909095,0.0312791839,0,25.2572994,0,0,0,0,0,0,0.278610408,0.121351354,Silent
8,9,0.011609977,0.307466,0.00200021314,0.380838662,0.00446691364,0.00166853995,0.0224163085,0.22782357,0.129359335,0.307466,0.275912166,0.307466,0.483846486,0.031263601,0,22.1447296,0,0,0,0,0,0,0.307466,0.156476408,Silent
9,10,0.011609977,0.335167348,0.00140092999,0.344726831,0.00439357106,0.00108350453,0.0233558416,0.247553572,0.133454174,0.335167348,0.299956739,0.335167348,0.397757143,0.0312480927,0,24.5151844,0,0,0,0,0,0,0.335167348,0.149054706,Silent
10,11,0.011609977,0.361760646,0.00120158761,0.311041623,0.0026316673,0.00101306417,0.0324024819,0.26705277,0.133784339,0.361760646,0.323745489,0.361760646,0.37998122,0.0312326569,0,18.8243618,0,0,0,0,0,0,0.361760646,0.116439603,Silent
11,12,0.011609977,0.38729021,0.000798105495,0.276356965,0.00219855364,0.000619540282,0.0343972705,0.282076389,0.138156965,0.38729021,0.342129558,0.38729021,0.283370525,0.0312173013,0,27.2318134,0,0,0,0,0,0,0.38729021,0.180095807,Silent
